Time,Bx,By,Sensor Angle,Sensor Magnitude,Command,Error,State
0.223140496,0,0,0,0,0,0,0
0.446280496,0,0,0,0,0,0,0
0.669420496,0,0,0,0,0,0,0
0.892560496,0,0,0,0,0,0,0
1.115700496,0,0,0,0,0,0,0
1.338840496,0,0,0,0,0,0,0
1.561980496,0,0,0,0,0,0,0
1.785120496,0,0,0,0,0,0,0
2.008260496,-0.197384948,0.587173761,0,0.619462544,0,0,0
2.231400496,-0.197384948,0.685036055,0,0.712906175,0,0,0
2.454540496,-0.098692474,0.587173761,0,0.595410136,0,0,0
2.677680496,0,0.391449174,0,0.391449174,0,0,0
2.900820496,0.098692474,0.391449174,0,0.403698725,0,0,0
3.123960496,0.197384948,0.391449174,0,0.438398533,0,0,0
3.347100496,0.098692474,0.293586881,0,0.309731272,0,0,0
3.570240496,0,0.195724587,0,0.195724587,0,0,0
3.793380496,0,0.293586881,0,0.293586881,0,0,0
4.016520496,0,0.293586881,0,0.293586881,0,0,0
4.239660496,0.098692474,0.097862294,0,0.138986449,0,0,0
4.462800496,0.098692474,0.097862294,0,0.138986449,0,0,0
4.685940496,-0.197384948,0.195724587,0,0.277972897,0,0,0
4.909080496,-0.394769896,0.489311468,0,0.62870421,0,0,0
5.132220496,-0.49346237,0.391449174,0,0.629871072,0,0,0
5.355360496,-0.592154844,0.391449174,0,0.709844924,0,0,0
5.578500496,-0.690847318,0.489311468,0,0.846578838,0,0,0
5.801640496,-0.888232267,0.587173761,0,1.064767385,0,0,0
6.024780496,-1.085617215,0.782898348,0,1.338467243,0,0,0
6.247920496,-1.184309689,0.587173761,0,1.321878385,0,0,0
6.471060496,-1.381694637,0.782898348,0,1.588083717,0,0,0
6.694200496,-1.283002163,0.782898348,0,1.503005114,0,0,0
6.917340496,-1.283002163,0.685036055,0,1.454430798,0,0,0
7.140480496,-1.184309689,0.587173761,0,1.321878385,0,0,0
7.363620496,-1.085617215,0.587173761,0,1.2342357,0,0,0
7.586760496,-0.986924741,0.489311468,0,1.101565321,0,0,0
7.809900496,-0.888232267,0.293586881,0,0.935494423,0,0,0
8.033040496,-0.690847318,0.195724587,0,0.718037695,0,0,0
8.256180496,-0.789539792,0,0,0.789539792,0,0,0
8.479320496,-0.690847318,0,0,0.334630353,0,0,0
8.702460496,-0.592154844,0.097862294,0,0.290716587,0,0,0
8.925600496,-0.789539792,0.195724587,0,0.39401037,0,0,0
9.148740496,-0.592154844,0.097862294,0,0.290716587,0,0,0
9.371880496,-0.394769896,-0.195724587,0,0.213429035,0,0,0
9.595020496,-0.394769896,-0.097862294,0,0.197005185,0,0,0
9.818160496,-0.394769896,0,0,0.191217344,0,0,0
10.0413005,-0.394769896,-0.097862294,0,0.197005185,0,0,0
10.2644405,-0.296077422,-0.097862294,0,0.151043904,0,0,0
10.4875805,-0.098692474,-0.293586881,0,0.150026615,0,0,0
10.7107205,-0.098692474,-0.587173761,0,0.288402804,0,0,0
10.9338605,0,-0.685036055,0,0.331815512,0,0,0
11.1570005,0.197384948,-0.685036055,0,0.345315149,0,0,0
11.3801405,0.394769896,-0.587173761,0,0.342717078,0,0,0
11.6032805,0.394769896,-0.587173761,0,0.342717078,0,0,0
11.8264205,0.394769896,-0.587173761,0,0.342717078,0,0,0
12.0495605,0.592154844,-0.685036055,0,0.438600841,0,0,0
12.2727005,0.690847318,-0.685036055,0,0.471252593,0,0,0
12.4958405,0.986924741,-0.782898348,0,0.610189757,0,0,0
12.7189805,0.986924741,-0.587173761,0,0.556252081,0,0,0
12.9421205,1.283002163,-0.489311468,0,0.665118238,0,0,0
13.1652605,1.283002163,-0.293586881,0,0.637519215,0,0,0
13.3884005,1.184309689,-0.391449174,0,0.604175617,0,0,0
13.6115405,0.888232267,-0.391449174,0,0.47016714,0,0,0
13.8346805,0.888232267,-0.293586881,0,0.453131713,0,0,0
14.0578205,0.986924741,-0.587173761,0,0.556252081,0,0,0
14.2809605,0.789539792,-0.489311468,0,0.449922819,0,0,0
14.5041005,0.592154844,-0.293586881,0,0.320143553,0,0,0
14.7272405,0.394769896,-0.293586881,0,0.238299818,0,0,0
14.9503805,0.098692474,-0.195724587,0,0.10617502,0,0,0
15.1735205,-0.296077422,-0.195724587,0,0.171916175,0,0,0
15.3966605,-0.394769896,-0.097862294,0,0.197005185,0,0,0
15.6198005,-0.592154844,0.195724587,0,0.302087808,0,0,0
15.8429405,-0.49346237,-0.097862294,0,0.243676699,0,0,0
16.0660805,-0.690847318,-0.195724587,0,0.347800738,0,0,0
16.2892205,-0.690847318,-0.097862294,0,0.337971068,0,0,0
16.5123605,-0.690847318,-0.195724587,0,0.347800738,0,0,0
16.7355005,-0.592154844,-0.293586881,0,0.320143553,0,0,0
16.9586405,-0.888232267,0,0,0.430239025,0,0,0
17.1817805,-1.381694637,0.293586881,0,0.684202179,0,0,0
17.4049205,-1.283002163,0.489311468,0,0.665118238,0,0,0
17.6280605,-1.381694637,0.391449174,0,0.695601475,0,0,0
17.8512005,-1.480387111,0.391449174,0,0.741710047,0,0,0
18.0743405,-1.776464533,0.782898348,0,0.94033428,0,0,0
18.2974805,-1.776464533,0.978622935,0,0.982404948,0,0,0
18.5206205,-2.171234429,1.174347522,0,1.19567006,0,0,0
18.7437605,-2.269926903,1.467934403,0,1.309376922,0,0,0
18.9669005,-2.368619377,1.565796696,326,1.3753294,100,-236,1
19.1900405,-2.171234429,1.370072109,327,1.243571203,100,-237,1
19.4131805,-1.677772059,1.076485229,327,0.965568197,100,-237,1
19.6363205,-1.776464533,0.587173761,327,0.906263425,0,0,0
19.8594605,-1.677772059,0.391449174,327,0.834499901,0,0,0
20.0826005,-1.480387111,0.391449174,327,0.741710047,0,0,0
20.3057405,-1.480387111,0.489311468,327,0.755219521,0,0,0
20.5288805,-1.381694637,0.587173761,327,0.727186918,0,0,0
20.7520205,-1.184309689,0.293586881,327,0.591015554,0,0,0
20.9751605,-1.184309689,0.195724587,327,0.581433173,0,0,0
21.1983005,-1.184309689,0.097862294,327,0.575607179,0,0,0
21.4214405,-0.986924741,-0.195724587,327,0.487353399,0,0,0
21.6445805,-0.888232267,-0.293586881,327,0.453131713,0,0,0
21.8677205,-0.394769896,-0.293586881,327,0.238299818,0,0,0
22.0908605,-0.888232267,-0.782898348,327,0.573508242,0,0,0
22.3140005,-0.986924741,-0.880760642,327,0.640726175,0,0,0
22.5371405,-0.690847318,-1.370072109,327,0.74322514,0,0,0
22.7602805,-0.789539792,-1.565796696,327,0.84940016,0,0,0
22.9834205,-1.579079585,-2.152970458,327,1.293274403,0,0,0
23.2065605,-2.171234429,-2.544419632,50,1.620189796,24,40,1
23.4297005,-2.269926903,-3.32731798,56,1.950998992,20,34,1
23.6528405,-1.776464533,-4.208078622,68,2.212480542,13,22,1
23.8759805,-0.888232267,-4.305940915,79,2.12961022,6,11,1
24.0991205,-2.171234429,-4.99097697,67,2.636367268,13,23,1
24.3222605,-0.789539792,-4.99097697,82,2.447575426,4,8,1
24.5454005,0.098692474,-5.676013025,91,2.749744097,0,-1,2
24.7685405,0.296077422,-5.578150731,94,2.705729675,-2,-4,1
24.9916805,0.690847318,-6.263186786,97,3.052141365,-4,-7,1
25.2148205,2.171234429,-6.361049079,109,3.255689141,-11,-19,1
25.4379605,3.947698962,-6.361049079,122,3.626272998,-19,-32,1
25.6611005,4.539853807,-6.556773667,125,3.862932475,-21,-35,1
25.8842405,3.059466696,-5.773875318,118,3.165095964,-16,-28,1
26.1073805,3.256851644,-6.458911373,117,3.503775658,-16,-27,1
26.3305205,4.046391436,-6.361049079,123,3.651706652,-19,-33,1
26.5536605,3.355544118,-6.263186786,119,3.441706509,-17,-29,1
26.7768005,2.763389274,-7.143947428,112,3.710221437,-13,-22,1
26.9999405,1.677772059,-7.437534308,103,3.693093247,-7,-13,1
27.2230805,1.973849481,-8.024708069,104,4.00284007,-8,-14,1
27.4462205,1.184309689,-8.024708069,99,3.929084303,-5,-9,1
27.6693605,0,-8.416157244,90,4.076590573,0,0,2
27.8925005,-0.49346237,-8.024708069,87,3.89432384,1,3,1
28.1156405,0.49346237,-8.514019537,94,4.130913686,-2,-4,1
28.3387805,0.394769896,-9.296917885,93,4.507268466,-1,-3,1
28.5619205,-0.986924741,-8.905468711,84,4.340009755,3,6,1
28.7850605,-0.690847318,-9.394780179,86,4.562899704,2,4,1
29.0082005,-0.986924741,-8.31829495,84,4.057447999,3,6,1
29.2313405,0.789539792,-9.296917885,95,4.519420455,-3,-5,1
29.4544805,1.381694637,-8.905468711,99,4.365211233,-5,-9,1
29.6776205,1.875157007,-8.807606418,103,4.361815508,-7,-13,1
29.9007605,1.381694637,-8.807606418,99,4.318375565,-5,-9,1
30.1239005,2.566004326,-9.003331005,106,4.534665017,-9,-16,1
30.3470405,2.072541955,-8.220432657,105,4.106387479,-9,-15,1
30.5701805,0.296077422,-7.143947428,93,3.463332331,-1,-3,1
30.7933205,1.677772059,-7.437534308,103,3.693093247,-7,-13,1
31.0164605,2.171234429,-7.633258895,106,3.844038131,-9,-16,1
31.2396005,3.15815917,-8.31829495,111,4.309809679,-12,-21,1
31.4627405,1.579079585,-6.556773667,104,3.266752798,-8,-14,1
31.6858805,1.283002163,-6.067462199,102,3.003924266,-7,-12,1
31.9090205,1.875157007,-7.339672015,105,3.66935738,-9,-15,1
32.1321605,1.776464533,-7.046085134,105,3.519760696,-9,-15,1
32.3553005,1.381694637,-7.241809721,101,3.57103879,-6,-11,1
32.5784405,2.171234429,-7.437534308,107,3.752940497,-10,-17,1
32.8015805,3.65162154,-7.339672015,117,3.97085887,-16,-27,1
33.0247205,4.243776385,-7.633258895,120,4.230366605,-18,-30,1
33.2478605,3.059466696,-7.046085134,114,3.720809388,-14,-24,1
33.4710005,3.355544118,-6.65463596,117,3.609950678,-16,-27,1
33.6941405,3.947698962,-7.535396602,118,4.120520946,-16,-28,1
33.9172805,3.849006488,-8.220432657,116,4.396645657,-15,-26,1
34.1404205,3.059466696,-7.926845776,112,4.115640935,-13,-22,1
34.3635605,3.256851644,-8.122570363,112,4.238870023,-13,-22,1
34.5867005,2.862081748,-8.122570363,110,4.171483662,-12,-20,1
34.8098405,2.171234429,-8.905468711,104,4.439957479,-8,-14,1
35.0329805,1.184309689,-8.905468711,98,4.351578549,-4,-8,1
35.2561205,0.394769896,-8.807606418,93,4.270482608,-1,-3,1
35.4792605,0.394769896,-8.709744124,93,4.223128468,-1,-3,1
35.7024005,0.394769896,-9.003331005,93,4.365194018,-1,-3,1
35.9255405,0.986924741,-8.905468711,97,4.340009755,-4,-7,1
36.1486805,0.197384948,-7.828983482,92,3.793382332,0,-2,2
36.3718205,-0.986924741,-6.65463596,82,3.258606312,4,8,1
36.5949605,0.49346237,-6.948222841,95,3.37403431,-3,-5,1
36.8181005,0,-6.752498254,90,3.270752901,0,0,2
37.0412405,0.49346237,-6.361049079,95,3.090401259,-3,-5,1
37.2643805,1.283002163,-6.263186786,102,3.096739811,-7,-12,1
37.4875205,1.283002163,-6.067462199,102,3.003924266,-7,-12,1
37.7106605,0.986924741,-6.65463596,99,3.258606312,-5,-9,1
37.9338005,-0.592154844,-5.871737612,85,2.85855933,3,5,1
38.1569405,-0.592154844,-6.458911373,85,3.141666886,3,5,1
38.3800805,0,-6.850360547,90,3.318155117,0,0,2
38.6032205,0.394769896,-6.65463596,94,3.229017453,-2,-4,1
38.8263605,-0.789539792,-6.067462199,83,2.96371545,4,7,1
39.0495005,-0.197384948,-5.382426144,88,2.608874375,0,2,2
39.2726405,-0.49346237,-4.893114677,85,2.382132775,3,5,1
39.4957805,-0.789539792,-4.697390089,81,2.307222432,5,9,1
39.7189205,0,-4.501665502,90,2.180501934,0,0,2
39.9420605,0.49346237,-3.425180274,99,1.676206941,-5,-9,1
40.1652005,0.888232267,-3.229455686,106,1.622361252,-9,-16,1
40.3883405,0.49346237,-2.642281925,101,1.301987923,-6,-11,1
40.6114805,0.098692474,-2.544419632,93,1.233384379,-1,-3,1
40.8346205,0.690847318,-2.152970458,108,1.095221891,-10,-18,1
41.0577605,0.49346237,-1.565796696,108,0.795207963,0,0,0
41.2809005,0.592154844,-1.565796696,108,0.810859731,0,0,0
41.5040405,0.49346237,-1.272209816,108,0.660960897,0,0,0
41.7271805,0.098692474,-0.880760642,108,0.429289915,0,0,0
41.9503205,0.197384948,-0.880760642,108,0.437202007,0,0,0
42.1734605,0.592154844,-1.076485229,108,0.595107169,0,0,0
42.3966005,0.296077422,-0.489311468,108,0.27702264,0,0,0
42.6197405,0.394769896,-0.195724587,108,0.213429035,0,0,0
42.8428805,0.394769896,-0.293586881,108,0.238299818,0,0,0
43.0660205,0.394769896,-0.489311468,108,0.304529678,0,0,0
43.2891605,0.592154844,-0.587173761,108,0.403930794,0,0,0
43.5123005,0.888232267,-0.489311468,108,0.491202474,0,0,0
43.7354405,0.888232267,-0.587173761,108,0.515748525,0,0,0
43.9585805,1.085617215,-0.685036055,108,0.621785601,0,0,0
44.1817205,0.986924741,-0.489311468,108,0.533572588,0,0,0
44.4048605,0.690847318,-0.195724587,108,0.347800738,0,0,0
44.6280005,0.789539792,-0.489311468,108,0.449922819,0,0,0
44.8511405,0.888232267,-0.587173761,108,0.515748525,0,0,0
45.0742805,0.888232267,-0.587173761,108,0.515748525,0,0,0
45.2974205,0.986924741,-0.685036055,108,0.581916651,0,0,0
45.5205605,0.986924741,-0.685036055,108,0.581916651,0,0,0
45.7437005,0.986924741,-0.782898348,108,0.610189757,0,0,0
45.9668405,0.888232267,-0.587173761,108,0.515748525,0,0,0
46.1899805,0.789539792,-0.587173761,108,0.476599637,0,0,0
46.4131205,0.888232267,-0.685036055,108,0.54332969,0,0,0
46.6362605,0.888232267,-0.782898348,108,0.573508242,0,0,0
46.8594005,0.592154844,-0.587173761,108,0.403930794,0,0,0
47.0825405,0.296077422,-0.391449174,108,0.237736855,0,0,0
47.3056805,0.098692474,-0.195724587,108,0.10617502,0,0,0
47.5288205,-0.197384948,0,108,0.095608672,0,0,0
47.7519605,-0.296077422,0.097862294,108,0.151043904,0,0,0
47.9751005,-0.49346237,0,108,0.23902168,0,0,0
48.1982405,-0.49346237,-0.097862294,108,0.243676699,0,0,0
48.4213805,-0.690847318,0.195724587,108,0.347800738,0,0,0
48.6445205,-0.789539792,0.097862294,108,0.385361209,0,0,0
48.8676605,-0.986924741,0.293586881,108,0.498746614,0,0,0
49.0908005,-0.888232267,0.391449174,108,0.47016714,0,0,0
49.3139405,-0.986924741,0.391449174,108,0.51427325,0,0,0
49.5370805,-0.789539792,0.097862294,108,0.385361209,0,0,0
49.7602205,-0.789539792,0,108,0.382434689,0,0,0
49.9833605,-0.592154844,-0.489311468,108,0.372079851,0,0,0
50.2065005,-0.592154844,-0.489311468,108,0.372079851,0,0,0
50.4296405,-0.789539792,-0.587173761,108,0.476599637,0,0,0
50.6527805,-0.986924741,-0.782898348,108,0.610189757,0,0,0
50.8759205,-1.184309689,-0.685036055,108,0.662705205,0,0,0
51.0990605,-0.690847318,-1.174347522,108,0.659955426,0,0,0
51.3222005,-0.690847318,-1.761521284,108,0.916512836,0,0,0
51.5453405,0.098692474,-2.152970458,108,1.043943855,0,0,0
51.7684805,1.184309689,-3.131593393,108,1.621719462,0,0,0
51.9916205,1.677772059,-4.110216328,113,2.150370615,-13,-23,1
52.2147605,4.441161333,-7.241809721,122,4.114857058,-19,-32,1
52.4379005,4.441161333,-9.590504766,115,5.119330141,-15,-25,1
52.6610405,0.690847318,-11.15630146,94,5.414203599,-2,-4,1
52.8841805,3.15815917,-17.61521284,101,8.668444565,-6,-11,1
53.1073205,4.145083911,-18.59383577,103,9.227502849,-7,-13,1
53.3304605,1.283002163,-18.78956036,94,9.122418154,-2,-4,1
53.5536005,-0.296077422,-20.25749476,90,9.813306688,0,0,2
53.7767405,-0.296077422,-20.25749476,90,9.813306688,0,0,4
